title,target
基于全面质量管理的高校图书馆阅读推广活动质量评价与控制研究,"[1]基于成本-效益分析的图书馆阅读推广绩效评估研究[J].田庆礼.河南图书馆学刊.2018(04)
[2]图书馆阅读推广效益评价[J].陈群,林丽.新世纪图书馆.2017(11)
[3]图书馆阅读推广实践的基本理念及多元化趋势[J].杨霄.图书馆学刊.2017(07)
[4]高校图书馆阅读推广活动影响因子指标体系构建研究[J].马君,郭晶,陈晶晶,马一铭.大学图书情报学刊.2017(05)
[5]阅读推广的服务自觉[J].范并思.图书与情报.2016(06)
[6]阅读推广活动评价评述及其总体框架构建[J].姚显霞.大学图书馆学报.2016(02)
[7]高校图书馆阅读推广活动绩效评估指标体系构建研究[J].卢苗苗,方向明.图书馆建设.2015(11)
[8]基于读者视角的高校图书馆阅读推广活动评价研究——以黑龙江科技大学为例[J].尹秀波.河北科技图苑.2015(05)
[9]基于读者参与的图书馆阅读推广活动质量评价研究[J].余小玲.图书馆界.2015(01)
[10]论图书馆全面质量管理模式的建立与运行[J].王建涛.大学图书情报学刊.2014(05)
[11]现代企业管理[M].广东高等教育出版社,苗德宏,2016
[12]质量管理[M].哈尔滨工程大学出版社,王松,2015
[13]WhatandWhyaResearchaboutReadingPromotiononPublicLibrariesintheMetropolitanAreaofLisbon.daSilvaVM,VazFAL.InformationLiteracy.LifelongLearningandDigitalCitizenshipinthe21stCentur.2014
[14]National&InternationalAssessments.http://www.fldoe.org/accountability/assessments/national-international-assessments/
.2018
[15]AnEvaluationofAYouthReadingPromotionProgram:Focusingon""1318BookwormProgram"".HAEun-Hye,CHANGYun-Keum,KWONNaHyun.JournaloftheKoreanBIBLIASocietyforlibraryandInformationScienc.2011
[16]ReadingPromotion:MarylandHumanitiesCouncil’’sOneMarylandOneBookProgramforHighSchoolandAdultReaders.LUTHERFD,WOODSA.DeltaKappaGammaBulleti.2013
"
知识经济时代的图书馆人力资源管理创新,"[1]高校图书馆人力资源管理存在的问题及对策[J].肖爱华.科技文献信息管理.2017(04)
[2]论图书馆人力资源开发与管理机制[J].张晓平.图书馆学刊.2015(06)
[3]高校图书馆人力资源开发与优化管理机制研究[J].常永平.法律文献信息与研究.2013(04)
[4]知识经济时代的高校图书馆人才资源的开发和思考[J].吕卫华.农业图书情报学刊.2013(09)
[5]知识经济时代下图书馆知识资本的管理[J].黄晓露.广西社会科学.2011(06)
[6]新时代专业图书馆的人力资源建设与管理创新[J].陈群.图书情报工作.2008(S2)
"
双一流建设背景下高校图书馆开放获取资源服务现状、问题及对策,"[1]我国高校机构知识库建设新动态[J].田爱苹,马倩,马胜,李文兰.图书情报导刊.2019(04)
[2]加快“双一流”建设走好高校内涵式发展之路[J].张新民.北京教育(高教).2019(04)
[3]开放获取期刊知识传播效果的媒介影响因素研究[J].刘锦宏,陈迪.出版科学.2019(02)
[4]嵌入机构知识库的高校图书馆学科服务模式探析[J].孙清玉.情报探索.2019(03)
[5]MOOC时代我国“985”高校图书馆开放获取服务现状的调查研究[J].赵雅洁,张立彬,聂江城.图书馆学研究.2018(20)
[6]Openaccess.SuberPeter.TheMITPressEssentialKnowledgeSerie.2012
[7]RankingWebofRepositories.http://repositories.webometrics.info/en/institutiona.
"
基于WCI的江苏省本科高校图书馆微信公众平台影响力分析,"[1]江苏省“211工程”高校图书馆微信公众平台建设现状及对策研究[J].刘颖,高俊宽.图书馆学研究.2018(03)
"
互联网时代我国高校图书馆防治学术不端行为的思考,"[1]江西省高校数字图书馆建设现状调查分析[J].储文静,甘安龙,刘小强.大学图书情报学刊.2017(02)
[2]基于学术不端检测构建高校学术诚信体系[J].胡朝明,韩俊,隋秀芝,黄志强.图书馆学刊.2012(08)
[3]高校学术不端现象的社会成因和多元治理[J].杨文硕.廉政文化研究.2010(03)
"
我国机构知识库研究现状与未来发展趋势探讨,"[1]机构知识库内容质量控制机制研究[J].刘文云,苏庆收,马伍翠,刘莉.情报理论与实践.2019(04)
[2]从开放获取到“超越开放获取”——“下一代机构知识库”给予我们的启示[J].吴建中.国家图书馆学刊.2018(06)
[3]我国机构知识库建设现状调查[J].龚亦农,朱茗.数字图书馆论坛.2018(09)
[4]机构知识库联盟研究现状与热点分析[J].王燕红,阳广元.图书馆理论与实践.2018(07)
[5]基于机构知识库的查收查引功能设计与实现[J].刘艳民,祝忠明,张旺强.图书情报工作.2018(12)
[6]“双一流”建设背景下面向用户的机构知识库建设策略探析[J].刘悦如,王从军,余育仁.图书馆工作与研究.2018(05)
[7]CSpace机构知识库影音资源支持能力扩展研究与实践[J].吴志强,祝忠明,姚晓娜,王思丽.数据分析与知识发现.2017(09)
[8]国内外机构知识库建设现状及建议[J].朱立禄,宋世俊,王琳.现代情报.2017(03)
[9]机构知识库的非文本信息处理功能探讨[J].潘璇.图书馆理论与实践.2017(02)
[10]基于联盟的高校机构知识库的构建研究[J].邵波,陈慧香,刘啸.图书馆学研究.2016(24)
"
高校图书馆开展移动图书馆服务调查研究——以南京部分高校图书馆为例,"[1]二维码技术在移动图书馆个性化服务中的应用研究[J].曹文琴,周玲元.图书馆学研究.2016(05)
[2]移动图书馆服务的用户需求调查及发展建议[J].郑德俊,沈军威,张正慧.图书情报工作.2014(07)
[3]移动图书馆的用户接受模型实证研究[J].余世英,明均仁.图书馆建设.2014(01)
[4]移动服务在高校图书馆的应用调查与思考[J].杨小莉,谢友宁.新世纪图书馆.2013(04)
[5]大学生移动学习需求的实证分析[J].茆意宏,魏雅雯.图书情报工作.2013(08)
[6]国内外移动图书馆的应用发展综述[J].叶莎莎,杜杏叶.图书情报工作.2013(06)
[7]面向智能手机的移动图书馆服务需求调查分析[J].宋鸾姣,李利.图书馆.2012(05)
[8]移动图书馆理论与应用研究综述[J].马骏涛,董秋生,黄文,王国庆,夏天,宋欣.中华医学图书情报杂志.2012(09)
[9]面向用户需求的图书馆移动信息服务[J].茆意宏.中国图书馆学报.2012(01)
[10]移动互联网:终端、网络与服务[J].罗军舟,吴文甲,杨明.计算机学报.2011(11)
[11]QRCodesasFindingAides:LinkingElectronicandPrintLibraryResources[J].DanielleKane,JeffSchneidewind.&nbspPublicServicesQuarterly.2011
(3-4)
[12]SituatedQuestionsandAnswers:RespondingtoLibraryUserswithQRCodes[J].Hicks,Alison,Sinkinson,Caroline.&nbspReference&UserServicesQuarterly.2011
(1)
[13]BillGates:InFiveYearsTheBestEducationWillComeFromTheWeb.MgSiegler.http://techcrunch.com/2010/08/06/bill-gates-education/
.2010
[14]M-libraries:Librariesonthemovetoprovidevirtualacces.NeedhamG,AllyM..2008
[15]Humanbehaviorandtheprincipleofleasteffort.GrantDA.Psychometrik.1951
[16]Whysomeretrievalsystemsareuserdandothersarenot.MooersCN.ScientistTh.1997
"
高校图书馆教学资源建设模式研究——以河海大学图书馆为例,"[1]香港6所高校图书馆的读者拓展服务研究与启示[J].施亮.农业图书情报学刊.2016(04)
[2]基于需求的参与式图书馆数字教学资源建设系统模式[J].刘磊,付玲玲,郭诗云,王启云.图书馆理论与实践.2015(03)
[3]社会网络环境下参与式图书馆数字教学资源系统开发与实现[J].刘磊,白振田,胡以涛,付玲玲.高校图书馆工作.2015(02)
[4]基于虚拟学习环境的高校图书馆在线教学资源的组织与服务——以985高校为例[J].李琛,胡媛媛.现代情报.2012(06)
[5]模糊综合评判在图书馆馆员绩效考评中的应用[J].施亮.农业图书情报学刊.2012(06)
[6]合作共建,资源共享——教育部外国教材信息系统的构建[J].姚飞,胡冉,丁旋.现代图书情报技术.2009(10)
"
我国图书馆智库研究现状统计分析,"[1]公共图书馆为政府新型智库建设提供决策信息服务的思考[J].丁祖峰.新世纪图书馆.2016(12)
[2]中国高校智库发展现状与未来策略思考[J].朱宏亮,蒋艳.高校教育管理.2016(02)
"
基于OAI的企业多元数据服务平台构建,"[1]大学图书馆数据素养的服务模式研究[J].胡洋,谢友宁,赵又霖.图书馆理论与实践.2017(05)
[2]一种支持检索结果多元化的数据融合算法[J].李洁玉,黄春兰,袁润,王秀红,吴胜利.情报理论与实践.2015(10)
[3]信息多样性对社会网络生态系统平衡的调节机制研究[J].李健,马捷.情报科学.2015(08)
[4]机构知识库OAI互操作数据同步策略研究[J].姚晓娜,祝忠明,卢利农,刘巍,张旺强.现代图书情报技术.2014(03)
[5]图书馆元数据信息发布平台及其应用[J].李艳,郝大鹏,徐行.计算机技术与发展.2014(02)
[6]基于OAI互操作协议的档案信息资源整合模式研究[J].包海峰,陈刚.档案与建设.2012(12)
[7]基于语义网技术的企业信息资源整合研究[J].唐晓波,田杰,望俊成.情报理论与实践.2012(10)
[8]香港机构仓储的现状及其对内地的启示[J].吴南雁.图书馆学研究.2009(05)
[9]基于OAI-PMH数据提供者的设计与实现[J].李志平,王敏.情报科学.2009(03)
[10]基于SOA的企业信息资源整合思考[J].南志红,邢俊德.经济问题.2008(01)
[11]信息组织与信息构建[M].中国人民大学出版社,周晓英,2010
[12]BeyondaCommonApproach:TeachingStudentstheEthicalPracticeofReference[J].LisaA.Ellis.&nbspTheReferenceLibrarian.2014
(3)
[13]Theopenarchivesinitiative:buildingalow-barrierinteroperabilityframework.CarlLagoze,HerbertVandeSompel.ProceedingsoftheACM/IEEEJointConferenceonDigitalLibrarie.2001
[14]InfoSleuth:Agent-BasedSemanticIntegrationofInformationinOpenandDynamicEnvironments.R.Bayardo,W.Bohrer,R.Brice,etal.ProceedingsoftheACMSIGMODInternationalConferenceonManagementofData(ACM’97)
.1997
[15]CurrentDevelopmentsandFutureTrendsfortheOAIProtocolforMetadataHarvesting.SarahLShreeves,etc.LibraryTrend.2005
[16]Build-ingtheinfoBus:areviewoftechnicalchoicesinthestanforddigitallibraryproject.ANDREASP,MICHELLEB,CHEN-CHUANCetal.IEEECompute.2000
[17]Usingtheopenarchivesinitiativeprotocolformetadataharvesting.EHLERTMK.LibraryResources&TechnicalService.2008
[18]Chiefoftheyear:WalmartCIORandyMottinnovatesforhiscompany’’s-andcustomers’’-good.CLINTONW.InformationWee.1997
"
对图书馆采访有效性的质量控制探讨,"[1]面向知识服务的高校图书馆图书采访业务流程重组研究[J].吴越.农业图书情报学刊.2017(09)
[2]政府招标模式下高校图书馆采访工作的创新实践——以淮南师院图书馆开辟急购图书绿色通道为例[J].余侠.文化创新比较研究.2017(13)
[3]地方高校图书馆纸本图书采访模式探析——以湖南科技学院图书馆为例[J].廖利香,董小朋.科技广场.2017(01)
"
基于生态理念的高校智慧型图书馆的建设研究,"[1]从传统图书馆到智慧图书馆:图书馆业务流程的转变[J].张友华,杨小莉.农业图书情报学刊.2017(01)
[2]图书馆建筑中的人文关怀——以南京大学杜厦图书馆为例[J].王浩.图书馆.2013(04)
[3]非接触移动支付智能手机在智慧图书馆的应用[J].康思本.图书馆学研究.2013(06)
[4]智慧图书馆探析[J].刘丽斌.图书馆建设.2013(03)
[5]智慧城市、智慧图书馆与智慧图书馆员[J].伊安·约翰逊,陈旭炎.图书馆杂志.2013(01)
[6]上海交通大学智慧图书馆之“型”与“行”[J].郭晶.中国教育网络.2011(11)
[7]国内生态图书馆建筑研究综述[J].许建业,杨亮.图书馆理论与实践.2010(11)
[8]基于物联网的智慧图书馆[J].严栋.图书馆学刊.2010(07)
[9]论数字图书馆与传统图书馆的关系[J].孙坦.大学图书馆学报.2001(02)
"
民间读书会巧绘中国耕读图——读《领读中国》有感,"[1]引领与聚合——南京全民阅读活动回顾和展望[J].葛继彬.科技与出版.2016(11)
[2]台湾地区读书会发展演变及其趋势[J].向剑勤.图书馆杂志.2015(04)
[3]爆裂[M].中信出版社,伊藤穰一,2017
"
也谈高校图书馆服务工作,"[1]高校图书馆评估与管理[M].北京图书馆出版社,柴晓娟,代根兴主编,2006
"
大数据背景下智慧图书馆用户行为分析,"[1]面向图书馆半结构化馆藏数据的智能检索系统研究[J].李卉.农业图书情报学刊.2017(02)
[2]高校图书馆微信公众平台用户流失行为模型及其影响因素分析[J].郭顺利,张向先,相甍甍.图书情报工作.2017(02)
[3]大数据环境下图书馆用户小数据的采集、分析与应用[J].陈廉芳.国家图书馆学刊.2016(03)
[4]大学生利用电子资源的现状调查与分析——以华东师范大学图书馆为例[J].谢艳芳.图书馆研究.2014(05)
[5]基于MapReduce的频繁项集挖掘方法[J].戎翔,李玲娟.西安邮电学院学报.2011(04)
[6]基于关联数据和用户本体的个性化知识服务关键技术研究[D].陈毅波.武汉大学2012
[7]Hadoop权威指南[M].清华大学出版社,(美)怀特(White,2010
"
高校图书馆支撑服务大学生创新创业教育的路径选择,"[1]创新创业教育是适应时代和发展之需——关于把创新创业教育作为高职教育必修课的思考(之一)[J].岳平.邯郸职业技术学院学报.2007(02)
"
智慧图书馆建设技术策略与案例分析,"[1]智慧图书馆个性化推荐服务体系及模式研究[J].曾子明,金鹏.图书馆杂志.2015(12)
[2]智慧图书馆的研究与实践——以南京大学图书馆为例[J].沈奎林,邵波.新世纪图书馆.2015(07)
[3]数字图书馆与智慧图书馆比较研究[J].吴吉玲.情报资料工作.2015(02)
[4]基于智慧图书馆理念的高校图书馆信息服务模式[J].谭春霞,佟成涛.兰台世界.2014(32)
[5]基于物联网标识体系的智慧图书馆建设研究[J].黄辉.图书馆工作与研究.2014(08)
[6]试论中国智慧图书馆的服务模式及构建路径[J].邓蓉敬.农业图书情报学刊.2014(05)
[7]论高校智慧图书馆的功能与构建[J].谢芳.图书馆学研究.2014(06)
[8]智慧图书馆的服务模式探析[J].王雄青.江西行政学院学报.2013(04)
[9]基于RFID的图书馆用户服务模式研究[J].朱小梅,刘春鸿,孙权.图书馆论坛.2013(04)
[10]智慧图书馆及其服务模式的构建[J].乌恩.情报资料工作.2012(05)
"
从传统图书馆到智慧图书馆:图书馆业务流程的转变,"[1]高校图书馆传统业务的调整与重组——以西安交通大学图书馆为例[J].乔亚铭,肖小勃.情报探索.2014(08)
[2]智慧图书馆构建初探[J].张海萍.图书馆研究.2014(02)
[3]论智慧图书馆的三大特点[J].王世伟.中国图书馆学报.2012(06)
[4]智慧图书馆及其服务模式的构建[J].乌恩.情报资料工作.2012(05)
[5]基于物联网的智能“云图书馆”架构与思考[J].王红.情报理论与实践.2011(11)
[6]智慧图书馆的定义、设计以及实现[J].董晓霞,龚向阳,张若林,严潮斌.现代图书情报技术.2011(02)
[7]基于物联网的智慧图书馆[J].严栋.图书馆学刊.2010(07)
[8]数字化环境下图书馆业务流程重组[J].徐芳,柴雅凌,金小璞,杨丰全,王锟.图书情报工作.2006(11)
[9]大学图书馆业务流程重组的理论研究与实践[J].高明中.图书馆建设.2006(01)
[10]复合图书馆的业务流程构建[J].凌美秀.图书馆论坛.2005(02)
"
大学图书馆数据素养的服务模式研究,"[1]美国高校图书馆数据信息素养服务研究[J].张雯.图书馆学刊.2015(12)
[2]大数据环境下高校图书馆数据素养教育探究[J].王浩,张琳琳,刘冰,陈新洁,王建勇,张素娟.图书馆学刊.2015(10)
[3]用户数据素养教育视角下的图书馆科学数据管理研究[J].张艳梅.图书与情报.2015(04)
[4]高校数据素养教育实践的思考和建议——基于哈佛大学案例和我国图书情报人员访谈的分析[J].郝媛玲,沈婷婷,高珊.图书情报工作.2015(12)
[5]数据素养及其对科学数据管理的影响[J].沈婷婷.图书馆论坛.2015(01)
[6]国外数据素质教育及图书馆服务模式研究[J].朱玉奴.图书情报工作.2014(05)
[7]浅谈当代大学生的信息素质教育[A].汪红娟.福建省图书馆学会2011年学术年会论文集[C].2011
[8]Incorporatingdataliteracyintoundergraduateinformationliteracyprogramsinthesocialsciences:Apilotproject[J].ElizabethStephenson,PattiSchifterCaravello.&nbspReferenceServicesReview.2007
(4)
[9]Dataliteracy:real-worldlearningthroughproblem-solvingwithdatasets.ERWINJRRW.Americansecondaryeducatio.2015
[10]Archivematicaasaservice:COPPUL’’sshareddigitalpreservationplatform.SproutB,JordanM.CanadianJournalofInformationandLibraryScienc.2015
[11]OxforroLibraryDigitalstrategy.http://www.ox.ac.uk/about/Organization/digital-strateg.2016
[12]DataManagement.HarvardLibrary.http://guides.library.harvard.edu/dm.2016
[13]Whatisdataliteracy?.Martin,Elaine.JournalofEscienceLibrarianshi.2014
[14]Digitalpreservationforlibraries,archives,&museums.RowlandF.LibrariesandtheAcadem.2015
[15]WelcometotheEIDCSRWebsite.http://eidcsr.oucs.ox.ac.u.2016
"
从图书馆文化到文化图书馆,"[1]高校图书馆与新校区校园文化建设[J].姜羡萍,郎杰斌.大学图书馆学报.2013(03)
[2]论图书馆文化氛围的建设[J].葛秀芹,张晓燕.图书馆工作与研究.2006(03)
[3]关于图书馆文化的理论研究[J].柯平,闫慧.图书馆论坛.2005(06)
"
高校图书馆对外开放刍议,"[1]国内外高校图书馆社会服务的现状比较与启示[J].刘艳红.图书与情报.2011(02)
[2]学习型社会背景下高校图书馆向社会开放的思考[J].李莉.科技情报开发与经济.2011(08)
"
浅议高校图书馆管理下的教材中心建设与管理,"[1]高校图书馆在教材建设中的服务职能[J].张红.图书馆学刊.2014(07)
[2]大规模在线开放课程(MOOC)与高校图书馆角色研究综述[J].罗博.图书情报工作.2014(03)
[3]高校图书馆在教材循环使用中的主导角色探讨[J].王卓.图书情报工作.2013(02)
[4]高校教材管理现状及新模式的构建[J].徐美凤,梁敏雅,钟福祥.浙江高校图书情报工作.2012(06)
[5]高校图书馆参与的教材管理模式初探——“教务处—图书馆—教材科”三级管理模式研究[J].叶波,罗兰.教育观察.2012(05)
[6]强化图书馆在高校教材建设中的服务功能[J].孙万东.图书情报工作.2005(01)
[7]高校图书馆教材资源建设与服务研究[D].袁艳.郑州大学2013
"
图书馆知识共享模型构建研究,"[1]研究图书馆2020:嵌入式协作化知识实验室?[J].张晓林.中国图书馆学报.2012(01)
[2]合作信息查寻与检索的知识共享模型[J].韩毅,李鹏.中国图书馆学报.2011(06)
[3]合作信息查寻与检索的内涵及分类研究[J].韩毅.情报科学.2011(04)
[4]信息查寻与信息检索的整合研究——对IS&R集成研究框架的评述[J].张爱霞,张新民,罗卫东.图书情报工作.2007(10)
[5]CollaborativeInformationRetrievalinaninformation-intensivedomain[J].&nbspInformationProcessingandManagement.2004
(5)
[6]Informationseekingandsharingindesignteams.PoltrockS,GrudinJ,DumaisS,etal.Proceedingsofthe2003internationalACMSIGGROUPconferenceonSupportinggroupwor.2003
[7]OnUserStudiesandInformationNeeds.WilsonTD.JournalofDocumentatio.1981
[8]AMultidimensionalApproachtotheStudyofHuman-InformationInteraction:ACaseStudyofCollaborativeInformationRetrieval.RFidel,AMPejtersen,BCleal,HBruce.JOURNAL-AMERICANSOCIETYFORINFORMATIONSCIENCEANDTECHNOLOGY
.2004
[9]Question-negotiationandInformationSeekinginLibraries.TailorRS.CollegeandResearchLibrarie.1968
[10]CollaborativeinformationretrievalTowardasocialinformaticsviewofIRinteraction.MuratKaramuftuoglu.Jour-naloftheAmericanSocietyforInformationScienc.1998
[11]Informationseekingandsharingindesignteams.Poltrock,S,Dumais,S,Fidel,R,Bruce,H,Pejtersen,A.M.ACMconferenceonsupportinggroupwork(GROUP’’03)
.2003
[12]ProvidingSocialInteractionoftheDigitalLibraries.AckermanMS.ProceedingsofDigitalLibrariesWorkshop—DL94
.1994
"
大数据时代的高校图书馆数据管理研究,"[1]国外大数据研究热点及发展趋势探析[J].黄永勤.情报杂志.2014(06)
[2]基于文献计量的大数据研究综述[J].李贺,袁翠敏,李亚峰.情报科学.2014(06)
[3]大数据存储管理系统面临挑战的探讨[J].曹刚.软件产业与工程.2013(06)
[4]美国推进大数据的应用实践及其有益借鉴——基于图书馆视角的分析[J].程莲娟.情报资料工作.2013(05)
[5]国际大数据研究论文的计量分析[J].薛辰.现代情报.2013(09)
[6]基于文献计量的“大数据”研究[J].杨绎.图书馆杂志.2012(09)
"
高校图书馆图书超期集中处理的创新实践和探讨——以河海大学图书馆为例,"[1]高校图书馆图书超期罚款现象探析及应对措施[J].任云.图书馆研究.2013(01)
[2]近年来图书超期处理方式研究述评及展望[J].李品庆.新世纪图书馆.2013(01)
[3]中美著名大学图书馆“超期罚款”政策比较及思考[J].韩宇,朱伟丽.图书情报工作.2008(02)
"
